,date,tsla_compound,tsla_sentiment
504,2017-04-15,0.0,-1
505,2017-04-17,0.4119,1
506,2017-04-18,0.5465,1
507,2017-04-19,0.3816,1
508,2017-04-20,0.0,-1
509,2017-04-21,0.0,-1
510,2017-04-22,-0.2263,-1
511,2017-04-24,0.8169000000000001,1
512,2017-04-25,-0.2732,-1
513,2017-04-26,0.79,1
514,2017-04-27,0.4588,1
515,2017-04-28,0.0,-1
516,2017-04-29,0.0,-1
517,2017-05-01,0.6436999999999999,1
518,2017-05-02,0.0,-1
519,2017-05-03,0.6895999999999999,1
520,2017-05-04,-0.2877,-1
521,2017-05-05,0.0,-1
522,2017-05-08,0.6718,1
523,2017-05-09,0.6588,1
524,2017-05-10,0.0,-1
525,2017-05-15,1.3671,1
526,2017-05-16,0.0516,1
527,2017-05-17,0.0,-1
528,2017-05-18,0.4473,1
529,2017-05-19,0.0,-1
530,2017-05-20,0.0258,1
531,2017-05-22,0.2325,1
532,2017-05-23,0.29600000000000004,1
533,2017-05-24,-0.5098,-1
534,2017-05-25,0.0,-1
535,2017-05-26,1.0582,1
536,2017-05-30,-0.2039,-1
537,2017-05-31,0.0,-1
538,2017-06-01,0.8066,1
539,2017-06-02,-1.1026,-1
540,2017-06-03,-0.29600000000000004,-1
541,2017-06-04,-0.1027,-1
542,2017-06-05,-0.7884,-1
543,2017-06-06,0.7769999999999999,1
544,2017-06-07,-0.6751,-1
545,2017-06-08,0.2732,1
546,2017-06-09,0.0,-1
547,2017-06-10,0.0,-1
548,2017-06-12,0.0,-1
549,2017-06-13,1.252,1
550,2017-06-14,1.2620999999999998,1
551,2017-06-15,0.4588,1
552,2017-06-19,0.2732,1
553,2017-06-20,0.1537,1
554,2017-06-21,0.4767,1
555,2017-06-22,0.0,-1
556,2017-06-26,0.2023,1
557,2017-06-27,0.12120000000000004,1
558,2017-06-28,-0.3818,-1
559,2017-06-30,0.0,-1
560,2017-07-01,0.0,-1
561,2017-07-03,1.3763999999999998,1
562,2017-07-05,-1.2089999999999996,-1
563,2017-07-06,-0.09989999999999988,-1
564,2017-07-07,0.061700000000000026,1
565,2017-07-08,0.0,-1
566,2017-07-09,0.0,-1
567,2017-07-10,2.1282,1
568,2017-07-11,0.5574,1
569,2017-07-12,-0.8157,-1
570,2017-07-13,0.4224000000000001,1
571,2017-07-14,-0.3182,-1
572,2017-07-17,-1.3334,-1
573,2017-07-18,-0.0516,-1
574,2017-07-19,0.4423,1
575,2017-07-20,0.2035,1
576,2017-07-21,0.4588,1
577,2017-07-24,0.0,-1
578,2017-07-25,0.0,-1
579,2017-07-27,0.0,-1
580,2017-07-28,0.0,-1
581,2017-07-29,0.0,-1
582,2017-07-31,2.1359,1
583,2017-08-01,0.4588,1
584,2017-08-02,0.5089,1
585,2017-08-03,0.031300000000000106,1
586,2017-08-04,-0.4755,-1
587,2017-08-05,0.0,-1
588,2017-08-07,0.0,-1
589,2017-08-08,0.4588,1
590,2017-08-09,1.1219,1
591,2017-08-10,0.0,-1
592,2017-08-11,-0.7547999999999999,-1
593,2017-08-14,0.3182,1
594,2017-08-15,0.0,-1
595,2017-08-17,0.0258,1
596,2017-08-18,0.0,-1
597,2017-08-19,0.0,-1
598,2017-08-22,-0.4019,-1
599,2017-08-23,0.4939,1
600,2017-08-24,0.0,-1
601,2017-08-25,0.8379000000000001,1
602,2017-08-26,0.0,-1
603,2017-08-29,-0.29600000000000004,-1
604,2017-08-30,0.6204,1
605,2017-08-31,0.0,-1
606,2017-09-01,0.3456,1
607,2017-09-02,0.0,-1
608,2017-09-05,0.0,-1
609,2017-09-06,0.6908,1
610,2017-09-07,0.0,-1
611,2017-09-10,-0.5574,-1
612,2017-09-11,-0.2109,-1
613,2017-09-12,0.4404,1
614,2017-09-13,-0.34589999999999993,-1
615,2017-09-14,0.0,-1
616,2017-09-15,0.0,-1
617,2017-09-17,0.0,-1
618,2017-09-18,0.7003,1
619,2017-09-19,-0.3182,-1
620,2017-09-20,1.5773,1
621,2017-09-21,0.5739000000000001,1
622,2017-09-22,0.4077,1
623,2017-09-23,0.2263,1
624,2017-09-25,0.0,-1
625,2017-09-26,0.4588,1
626,2017-09-27,-0.5574,-1
627,2017-09-28,0.0,-1
628,2017-09-29,1.6685,1
629,2017-10-02,1.3095,1
630,2017-10-03,1.525,1
631,2017-10-04,0.8232999999999999,1
632,2017-10-05,0.3818,1
633,2017-10-06,0.4019,1
634,2017-10-07,0.6486,1
635,2017-10-09,0.3657,1
636,2017-10-10,2.48,1
637,2017-10-11,0.02280000000000004,1
638,2017-10-12,0.0,-1
639,2017-10-14,-0.5574,-1
640,2017-10-16,-1.1849,-1
641,2017-10-17,0.256,1
642,2017-10-18,-0.128,-1
643,2017-10-19,0.06469999999999998,1
644,2017-10-20,0.09820000000000008,1
645,2017-10-22,0.0,-1
646,2017-10-23,0.29789999999999994,1
647,2017-10-24,0.6733999999999999,1
648,2017-10-25,1.0203,1
649,2017-10-26,-0.6955,-1
650,2017-10-27,0.7775999999999998,1
651,2017-10-28,-0.25,-1
652,2017-10-29,0.0,-1
653,2017-10-30,-0.05570000000000008,-1
654,2017-10-31,0.7351,1
655,2017-11-01,0.8208,1
656,2017-11-02,-1.2629,-1
657,2017-11-03,0.454,1
658,2017-11-05,0.0,-1
659,2017-11-07,1.087,1
660,2017-11-08,0.06680000000000003,1
661,2017-11-09,1.2787000000000002,1
662,2017-11-10,0.4588,1
663,2017-11-11,0.0,-1
664,2017-11-13,-0.2263,-1
665,2017-11-14,-1.1107,-1
666,2017-11-15,0.0,-1
667,2017-11-16,-0.128,-1
668,2017-11-17,1.9621,1
669,2017-11-18,0.0,-1
670,2017-11-20,-0.2771,-1
671,2017-11-21,0.8732,1
672,2017-11-22,-0.29600000000000004,-1
673,2017-11-23,0.0,-1
674,2017-11-24,-0.2732,-1
675,2017-11-27,0.0,-1
676,2017-11-28,1.0678999999999998,1
677,2017-11-29,-0.39459999999999984,-1
678,2017-12-01,0.21050000000000008,1
679,2017-12-04,0.6124,1
680,2017-12-06,0.4019,1
681,2017-12-07,0.8126,1
682,2017-12-08,0.0,-1
683,2017-12-11,0.0,-1
684,2017-12-12,1.0162,1
685,2017-12-14,0.0,-1
686,2017-12-15,0.4588,1
687,2017-12-18,0.5719,1
688,2017-12-19,0.8803,1
689,2017-12-20,0.3818,1
690,2017-12-21,0.4588,1
691,2017-12-23,0.0,-1
692,2017-12-26,0.0222,1
693,2017-12-27,0.5328000000000002,1
694,2017-12-29,0.0,-1
695,2017-12-30,0.0,-1
696,2018-01-02,-0.1531,-1
697,2018-01-03,-0.1281,-1
698,2018-01-04,-0.128,-1
699,2018-01-07,0.0,-1
700,2018-01-08,0.743,1
701,2018-01-09,0.0,-1
702,2018-01-10,0.3818,1
703,2018-01-11,0.0,-1
704,2018-01-12,0.0,-1
705,2018-01-16,0.0,-1
706,2018-01-19,0.0,-1
707,2018-01-23,1.9619999999999995,1
708,2018-01-24,0.7299,1
709,2018-01-25,0.1484000000000001,1
710,2018-01-26,-0.4215,-1
711,2018-01-29,0.34,1
712,2018-01-30,0.2023,1
713,2018-02-01,0.6815,1
714,2018-02-02,0.4846,1
715,2018-02-05,0.3818,1
716,2018-02-06,0.0,-1
717,2018-02-07,-0.10619999999999996,-1
718,2018-02-08,-0.5427,-1
719,2018-02-11,0.0,-1
720,2018-02-13,0.5574,1
721,2018-02-14,-0.25,-1
722,2018-02-15,0.3182,1
723,2018-02-16,-0.5106,-1
724,2018-02-17,0.0,-1
725,2018-02-21,-0.7419,-1
726,2018-02-22,0.2023,1
727,2018-02-23,-0.128,-1
728,2018-02-26,0.7088,1
729,2018-02-27,0.0,-1
730,2018-02-28,-0.3182,-1
731,2018-03-01,0.0,-1
732,2018-03-05,0.3182,1
733,2018-03-06,0.6867000000000001,1
734,2018-03-07,0.0,-1
735,2018-03-08,-0.17049999999999998,-1
736,2018-03-09,0.06359999999999999,1
737,2018-03-12,1.1095000000000002,1
738,2018-03-13,0.2732,1
739,2018-03-14,1.2544,1
740,2018-03-15,0.2023,1
741,2018-03-16,0.3612,1
742,2018-03-19,-1.4181,-1
743,2018-03-20,-0.5464,-1
744,2018-03-21,1.9796,1
745,2018-03-22,0.4143,1
746,2018-03-23,0.8200000000000001,1
747,2018-03-24,0.0,-1
748,2018-03-26,0.8121,1
749,2018-03-27,-2.0912,-1
750,2018-03-28,-0.6814,-1
751,2018-03-29,-0.4372,-1
752,2018-03-31,-1.4702,-1
753,2018-04-02,-2.7785,-1
754,2018-04-03,1.7204000000000002,1
755,2018-04-04,-0.020000000000000132,-1
756,2018-04-05,-0.34,-1
757,2018-04-06,-0.6486,-1
758,2018-04-09,0.29600000000000004,1
759,2018-04-10,-0.7924999999999999,-1
760,2018-04-11,-0.6249,-1
761,2018-04-12,-0.7351,-1
762,2018-04-13,2.1502,1
763,2018-04-16,1.0339,1
764,2018-04-17,1.5232,1
765,2018-04-18,-0.2732,-1
766,2018-04-19,0.0,-1
767,2018-04-20,-0.4215,-1
768,2018-04-24,0.4209,1
769,2018-04-25,0.5859,1
770,2018-04-26,0.4215,1
771,2018-04-30,0.0,-1
772,2018-05-01,-0.03970000000000001,-1
773,2018-05-02,-0.9564,-1
774,2018-05-03,-1.8838999999999997,-1
775,2018-05-04,-0.5848,-1
776,2018-05-07,0.6369,1
777,2018-05-08,1.0187,1
778,2018-05-09,-1.5001,-1
779,2018-05-10,-1.0143,-1
780,2018-05-11,0.8008,1
781,2018-05-13,0.0,-1
782,2018-05-14,1.8538,1
783,2018-05-15,0.7425999999999999,1
784,2018-05-16,0.02579999999999999,1
785,2018-05-17,-0.6111,-1
786,2018-05-18,0.0,-1
787,2018-05-20,0.4588,1
788,2018-05-21,1.7039999999999995,1
789,2018-05-22,-0.3528,-1
790,2018-05-23,-0.645,-1
791,2018-05-24,-0.8922,-1
792,2018-05-25,0.13490000000000002,1
793,2018-05-30,0.1138,1
794,2018-05-31,-0.4215,-1
795,2018-06-01,0.3182,1
796,2018-06-04,0.1779,1
797,2018-06-05,-0.7201,-1
798,2018-06-06,3.6604,1
799,2018-06-07,0.08490000000000003,1
800,2018-06-08,0.0,-1
801,2018-06-11,0.8225,1
802,2018-06-12,-1.7251,-1
803,2018-06-13,1.3982,1
804,2018-06-14,-0.5913999999999999,-1
805,2018-06-17,0.0,-1
806,2018-06-18,-1.8649,-1
807,2018-06-19,-1.3866999999999998,-1
808,2018-06-20,-0.5719,-1
809,2018-06-21,0.0,-1
810,2018-06-22,-1.2251,-1
811,2018-06-26,-1.1963,-1
