,date,em_tweets3_compound,em_tweets3_sentiment
641,2016-07-27,1.2318,1
642,2016-07-28,0.4404,1
643,2016-07-29,1.1626,1
644,2016-07-30,1.8422,1
645,2016-07-31,0.0,-1
646,2016-08-01,0.2235,1
647,2016-08-07,0.1531,1
648,2016-08-09,1.5725,1
649,2016-08-10,0.0,-1
650,2016-08-11,0.8805,1
651,2016-08-14,0.4019,1
652,2016-08-15,0.0,-1
653,2016-08-22,-0.4588,-1
654,2016-08-23,0.0,-1
655,2016-08-28,1.0957,1
656,2016-08-30,0.6908,1
657,2016-08-31,1.2197,1
658,2016-09-01,-0.6348,-1
659,2016-09-09,0.6721999999999999,1
660,2016-09-10,-0.659,-1
661,2016-09-13,-0.16410000000000002,-1
662,2016-09-16,0.8849,1
663,2016-09-17,2.7977,1
664,2016-09-18,0.0,-1
665,2016-09-19,0.7845,1
666,2016-09-21,0.6681,1
667,2016-09-22,0.6904999999999999,1
668,2016-09-23,0.4404,1
669,2016-09-26,0.7056999999999998,1
670,2016-09-27,0.925,1
671,2016-09-28,0.8514,1
672,2016-10-01,0.4019,1
673,2016-10-02,2.9113,1
674,2016-10-04,1.0812,1
675,2016-10-05,0.9109,1
676,2016-10-06,0.0,-1
677,2016-10-07,-0.5994,-1
678,2016-10-09,0.5089,1
679,2016-10-10,0.08720000000000007,1
680,2016-10-13,-0.4767,-1
681,2016-10-16,0.4926,1
682,2016-10-18,0.0,-1
683,2016-10-19,-0.4019,-1
684,2016-10-20,2.8622,1
685,2016-10-22,0.0,-1
686,2016-10-23,0.0,-1
687,2016-10-24,0.743,1
688,2016-10-26,0.7783,1
689,2016-10-27,0.9176,1
690,2016-10-29,3.0809,1
691,2016-11-02,0.4019,1
692,2016-11-03,1.351,1
693,2016-11-04,6.1076,1
694,2016-11-05,2.2476,1
695,2016-11-06,0.7184,1
696,2016-11-07,0.8266,1
697,2016-11-15,0.6696,1
698,2016-11-16,2.9922,1
699,2016-11-17,0.7088,1
700,2016-11-18,0.0,-1
701,2016-11-19,0.9068,1
702,2016-11-22,0.8877,1
703,2016-11-23,0.4019,1
704,2016-11-27,0.0,-1
705,2016-12-01,0.0,-1
706,2016-12-07,0.7499,1
707,2016-12-08,0.2732,1
708,2016-12-09,0.0,-1
709,2016-12-11,0.4588,1
710,2016-12-17,-0.9775,-1
711,2016-12-18,0.0,-1
712,2016-12-21,0.0,-1
713,2016-12-22,1.1212,1
714,2016-12-23,3.3118,1
715,2016-12-24,0.9715999999999996,1
716,2016-12-30,0.0,-1
717,2016-12-31,1.0898,1
718,2017-01-05,0.1531,1
719,2017-01-06,0.0,-1
720,2017-01-07,0.6249,1
721,2017-01-08,0.758,1
722,2017-01-10,0.34,1
723,2017-01-11,0.17520000000000002,1
724,2017-01-12,2.4128000000000003,1
725,2017-01-14,0.6249,1
726,2017-01-15,0.0,-1
727,2017-01-16,0.4567999999999999,1
728,2017-01-18,0.4588,1
729,2017-01-19,1.9048,1
730,2017-01-21,1.3934,1
731,2017-01-22,1.6019,1
732,2017-01-23,0.7351,1
733,2017-01-24,3.2989,1
734,2017-01-25,1.7542999999999995,1
735,2017-01-27,1.1837,1
736,2017-01-28,-0.3468,-1
737,2017-01-29,-0.8942999999999999,-1
738,2017-01-30,3.6608,1
739,2017-01-31,-0.4019,-1
740,2017-02-02,0.4019,1
741,2017-02-03,0.0,-1
742,2017-02-04,2.4968,1
743,2017-02-05,7.7596,1
744,2017-02-07,1.528,1
745,2017-02-08,0.0,-1
746,2017-02-09,0.0,-1
747,2017-02-10,0.7769999999999999,1
748,2017-02-11,0.6597,1
749,2017-02-15,1.4214,1
750,2017-02-16,4.3389,1
751,2017-02-17,0.5687,1
752,2017-02-18,2.264,1
753,2017-02-19,-0.29600000000000004,-1
754,2017-02-23,0.5719,1
755,2017-02-24,2.7648,1
756,2017-02-25,0.6249,1
757,2017-02-27,0.29600000000000004,1
758,2017-02-28,-0.1798,-1
759,2017-03-02,0.9215,1
760,2017-03-06,0.4926,1
761,2017-03-10,0.6732,1
762,2017-03-11,0.9041,1
763,2017-03-12,4.8616,1
764,2017-03-13,0.29600000000000004,1
765,2017-03-14,0.365,1
766,2017-03-16,0.7269,1
767,2017-03-22,-0.29600000000000004,-1
768,2017-03-23,0.3612,1
769,2017-03-24,8.7058,1
770,2017-03-28,-0.5885999999999999,-1
771,2017-03-29,0.0,-1
772,2017-03-30,0.5697,1
773,2017-03-31,3.7166,1
774,2017-04-01,-0.9301,-1
775,2017-04-02,0.03069999999999995,1
776,2017-04-03,0.0,-1
777,2017-04-05,0.0,-1
778,2017-04-07,0.6486,1
779,2017-04-12,1.3979,1
780,2017-04-13,0.6705,1
781,2017-04-17,0.6282,1
782,2017-04-18,0.1779,1
783,2017-04-23,-0.29600000000000004,-1
784,2017-04-24,1.3657,1
785,2017-04-27,-0.2263,-1
786,2017-04-28,-0.9741,-1
787,2017-05-01,0.3490999999999999,1
788,2017-05-04,0.8312,1
789,2017-05-05,1.1529,1
790,2017-05-07,1.092,1
791,2017-05-09,-0.15900000000000006,-1
792,2017-05-10,2.3488,1
793,2017-05-11,0.9540000000000001,1
794,2017-05-12,-0.4537,-1
795,2017-05-13,0.29600000000000004,1
796,2017-05-14,1.0966,1
797,2017-05-16,0.0,-1
798,2017-05-17,-0.8074,-1
799,2017-05-19,0.95,1
800,2017-05-21,0.4019,1
801,2017-05-22,6.6748,1
802,2017-05-23,1.2482000000000002,1
803,2017-05-24,1.2866,1
804,2017-05-25,1.1857,1
805,2017-05-26,0.7419,1
806,2017-05-27,0.6960999999999999,1
807,2017-05-29,0.5023,1
808,2017-05-31,1.2107,1
809,2017-06-01,0.4412,1
810,2017-06-02,0.7096,1
811,2017-06-03,0.0,-1
812,2017-06-04,1.3386,1
813,2017-06-05,0.9496,1
814,2017-06-06,0.8162999999999999,1
815,2017-06-07,2.2509,1
816,2017-06-08,6.981500000000001,1
817,2017-06-09,-0.7368000000000001,-1
818,2017-06-10,1.3339,1
819,2017-06-11,0.8992,1
820,2017-06-13,1.9476,1
821,2017-06-14,0.4767,1
822,2017-06-16,1.2789,1
823,2017-06-17,0.9431,1
824,2017-06-18,0.7274999999999999,1
825,2017-06-19,-0.29600000000000004,-1
826,2017-06-20,0.7444999999999999,1
827,2017-06-21,-0.2201,-1
828,2017-06-22,0.4385999999999999,1
829,2017-06-23,1.0826,1
830,2017-06-24,0.0,-1
831,2017-06-25,1.3607999999999998,1
