,date,amazon_close,amazon_vol,amazon_intra_perc_change,amazon_intra_returns,amazon_pct_change,amazon_pct_returns,amazon_previous_close,amazon_opening_change,amazon_opening_returns,amazon_target,amazon_intra_target,amazon_open_target
843,2013-08-02,304.21,2502600,0.13787217279979513,1,-0.004450698694243638,-1,305.57,-0.30762182151389134,-1,-1,1,-1
844,2013-08-05,300.99,2233200,0.7943309162821254,1,-0.01058479339929641,-1,304.21,-0.26626343644193234,-1,-1,1,-1
845,2013-08-06,300.75,1849000,-0.07986423080763005,-1,-0.0007973686833450122,-1,300.99,-0.15947373666899836,-1,-1,-1,-1
846,2013-08-07,296.91,1961000,1.0794602698650517,1,-0.012768079800498655,-1,300.75,-0.1995012468828006,-1,-1,1,-1
847,2013-08-08,295.74,2343400,0.9312608870427351,1,-0.003940588056987049,-1,296.91,0.5422518608332346,1,-1,1,1
848,2013-08-09,297.26,1950300,-0.5343614718614664,-1,0.005139649692297299,1,295.74,-0.020288090890647956,-1,1,-1,-1
849,2013-08-12,296.69,1504500,-0.3042699212278905,-1,-0.0019175132880306922,-1,297.26,-0.49451658480790234,-1,-1,-1,-1
850,2013-08-13,293.97,2349900,0.645531972421241,1,-0.009167818261484939,-1,296.69,-0.2730122349927542,-1,-1,1,-1
851,2013-08-14,291.34,1415000,1.0024125862244877,1,-0.008946491138551727,-1,293.97,0.10885464503180364,1,-1,1,1
852,2013-08-15,286.47,2261400,0.803351916617609,1,-0.016715864625523214,-1,291.34,-0.8752660122193844,-1,-1,1,-1
853,2013-08-16,284.82,2422500,0.603734077822376,1,-0.00575976542046297,-1,286.47,0.02792613537193566,1,-1,1,1
854,2013-08-19,285.57,2477400,-0.13324450366422225,-1,0.0026332420476089524,1,284.82,0.1299066076820464,1,1,-1,1
855,2013-08-20,287.09,1586300,-0.4232545123828108,-1,0.005322687957418415,1,285.57,0.10855482018419381,1,1,-1,1
856,2013-08-21,284.57,1815300,0.18239854081166715,1,-0.008777735204987924,-1,287.09,-0.6966456511895225,-1,-1,1,-1
857,2013-08-22,289.73,1422600,-1.7310393258426988,-1,0.018132621147696648,1,284.57,0.08082369891415757,1,1,-1,1
858,2013-08-23,290.01,1961900,0.4120737612032515,1,0.0009664170089391799,1,289.73,0.5108204190107898,1,1,1,1
859,2013-08-26,286.21,1711700,1.4530179389181652,1,-0.013102996448398407,-1,290.01,0.1448225923244081,1,-1,1,1
860,2013-08-27,280.93,2476000,1.0356853489273252,1,-0.018447992732608776,-1,286.21,-0.8175814961042505,-1,-1,1,-1
861,2013-08-28,281.58,1457100,-0.4351548009701707,-1,0.0023137436372049347,1,280.93,-0.20289751895489735,-1,1,-1,-1
862,2013-08-29,283.98,1566400,-0.8989163261680689,-1,0.008523332623055824,1,281.58,-0.0461680517082163,-1,1,-1,-1
863,2013-08-30,280.98,1534700,1.268491514108,1,-0.010564124234101024,-1,283.98,0.21480385942670496,1,-1,1,1
864,2013-09-03,288.8,2897600,-1.42942436694412,-1,0.027831162360310246,1,280.98,1.3346145633141147,1,1,-1,1
865,2013-09-04,293.64,2438600,-1.8416397877432118,-1,0.01675900277008302,1,288.8,-0.16274238227147758,-1,1,-1,-1
866,2013-09-05,294.1,1816600,-0.1600653884139997,-1,0.0015665440675658449,1,293.64,-0.003405530581661526,-1,1,-1,-1
867,2013-09-06,295.86,2292000,-0.17946026478855165,-1,0.005984359061543598,1,294.1,0.4182250935055971,1,1,-1,1
868,2013-09-09,299.71,1643600,-0.8377632729964175,-1,0.01301291151220152,1,295.86,0.45967687419726005,1,1,-1,1
869,2013-09-10,300.36,1778400,0.06321743470304367,1,0.0021687631376998695,1,299.71,0.2802709285642894,1,1,1,1
870,2013-09-11,299.64,1742600,-0.24422066842861107,-1,-0.00239712345185783,-1,300.36,-0.48275402849913057,-1,-1,-1,-1
871,2013-09-12,298.86,1606200,0.17702662079560866,1,-0.0026031237484981373,-1,299.64,-0.08343345347750634,-1,-1,1,-1
872,2013-09-13,297.92,1350600,0.7396548277470416,1,-0.003145285417921473,-1,298.86,0.428294184568016,1,-1,1,1
873,2013-09-16,296.06,1808400,1.2540857848042128,1,-0.006243286788399582,-1,297.92,0.6377551020408087,1,-1,1,1
874,2013-09-17,304.17,2296500,-2.1973591371837586,-1,0.027393095994055372,1,296.06,0.5302979125852845,1,1,-1,1
875,2013-09-18,312.03,2946400,-2.6211931855554726,-1,0.0258408127034222,1,304.17,-0.03616398724397989,-1,1,-1,-1
876,2013-09-19,312.06,2350900,0.5449851802275487,1,9.614460148066328e-05,1,312.03,0.5576386885876388,1,1,1,1
877,2013-09-20,316.34,5302300,-1.2158443719203795,-1,0.013715311158110532,1,312.06,0.15381657373582586,1,1,-1,1
878,2013-09-23,311.49,1884900,0.8025222126683806,1,-0.015331605234873757,-1,316.34,-0.7365492824176468,-1,-1,1,-1
879,2013-09-24,314.13,2033600,-0.544121883301856,-1,0.008475392468457965,1,311.49,0.3017753378920664,1,1,-1,1
880,2013-09-25,312.65,2008600,0.5977172288811864,1,-0.004711425206124886,-1,314.13,0.12733581638174554,1,-1,1,1
881,2013-09-26,318.12,1989900,-1.3443771901879666,-1,0.017495602110986885,1,312.65,0.39980809211578444,1,1,-1,1
882,2013-09-27,316.01,1657500,0.2871387100845718,1,-0.006632717213630124,-1,318.12,-0.377216144850996,-1,-1,1,-1
883,2013-09-30,312.64,1623600,0.24568456654224133,1,-0.010664219486725135,-1,316.01,-0.8227587734565254,-1,-1,1,-1
884,2013-10-01,320.95,2396400,-2.1418114696709187,-1,0.026580092118730914,1,312.64,0.5053735926305146,1,1,-1,1
885,2013-10-02,320.51,2217400,-0.7766318702049962,-1,-0.0013709300514098688,-1,320.95,-0.9066832840006133,-1,-1,-1,-1
886,2013-10-03,314.76,2674800,1.7572333718280833,1,-0.017940157873389317,-1,320.51,-0.0374403294749008,-1,-1,1,-1
887,2013-10-04,319.04,1815000,-1.2407577825024674,-1,0.013597661710509579,1,314.76,0.1175498792730984,1,1,-1,1
888,2013-10-07,310.03,2083200,1.6527090470752557,1,-0.02824097291875638,-1,319.04,-1.1910732196589804,-1,-1,1,-1
889,2013-10-08,303.23,3166200,2.6548956661316154,1,-0.021933361287617137,-1,310.03,0.47414766312938345,1,-1,1,1
890,2013-10-09,298.23,3247400,1.7105002966185476,1,-0.01648913366091742,-1,303.23,0.06265870791148558,1,-1,1,1
891,2013-10-10,305.17,2555100,-0.17726422217116516,-1,0.023270630050632013,1,298.23,2.145994702075572,1,1,-1,1
892,2013-10-11,310.89,2163100,-2.0080716605965168,-1,0.018743651079725865,1,305.17,-0.13107448307501854,-1,1,-1,-1
893,2013-10-14,310.7,1939100,-0.4786236336588711,-1,-0.0006111486377818887,-1,310.89,-0.5371674868924569,-1,-1,-1,-1
894,2013-10-15,306.4,2261100,1.1198244425081574,1,-0.013839716768587085,-1,310.7,-0.2671387190215591,-1,-1,1,-1
895,2013-10-16,310.49,2170700,-0.6842207665866833,-1,0.01334856396866857,1,306.4,0.6462140992167161,1,1,-1,1
896,2013-10-17,310.77,2648400,-1.2049369850522647,-1,0.000901800380044282,1,310.49,-1.1014847499114353,-1,1,-1,-1
897,2013-10-18,328.93,5969800,-2.9966182364729437,-1,0.05843549892203237,1,310.77,2.764102069054295,1,1,-1,1
898,2013-10-21,326.44,2522300,1.0458031465033764,1,-0.007569999695983931,-1,328.93,0.29185540996563997,1,-1,1,1
899,2013-10-22,332.54,3935500,-1.4707677285487588,-1,0.018686435485847364,1,326.44,0.39210881019483806,1,1,-1,1
900,2013-10-23,326.76,2818200,1.2332245194051457,1,-0.017381367655019075,-1,332.54,-0.5112166957358649,-1,-1,1,-1
901,2013-10-24,332.21,5884700,-0.7826957497800516,-1,0.01667890806708283,1,326.76,0.8783204798628976,1,1,-1,1
902,2013-10-25,363.39,12036800,-1.3357501394311107,-1,0.09385629571656495,1,332.21,7.9437705066072795,1,1,-1,1
903,2013-10-28,358.16,3635800,0.4889975550122224,1,-0.014392250749882929,-1,363.39,-0.9548969426786567,-1,-1,1,-1
904,2013-10-29,362.7,2185400,-1.0418988188098979,-1,0.012675899039535254,1,358.16,0.22336385972748338,1,1,-1,1
