,date,cloudera_close,cloudera_vol,cloudera_intra_perc_change,cloudera_intra_returns,cloudera_pct_change,cloudera_pct_returns,cloudera_previous_close,cloudera_opening_change,cloudera_opening_returns,cloudera_target,cloudera_intra_target,cloudera_open_target
222,2018-03-16,19.61,1981000,0.959595959595966,1,-0.010595358224016138,-1,19.82,-0.10090817356205638,-1,-1,1,-1
223,2018-03-19,19.33,1748800,0.9226037929267209,1,-0.01427842937276902,-1,19.61,-0.5099439061703104,-1,-1,1,-1
224,2018-03-20,20.26,1477400,-3.6847492323439224,-1,0.048111743404035456,1,19.33,1.086394205897573,1,1,-1,1
225,2018-03-21,20.07,1135500,1.2788981800295034,1,-0.009378084896347505,-1,20.26,0.34550839091804897,1,-1,1,1
226,2018-03-22,20.49,2298900,-2.964824120603015,-1,0.020926756352765308,1,20.07,-0.8470353761833668,-1,1,-1,-1
227,2018-03-23,20.29,1379600,0.7823960880195607,1,-0.009760858955588092,-1,20.49,-0.1952171791117577,-1,-1,1,-1
228,2018-03-26,21.59,2080000,-4.856726566294318,-1,0.06407097092163627,1,20.29,1.4785608674223791,1,1,-1,1
229,2018-03-27,21.25,2443200,1.892890120036935,1,-0.015748031496062964,-1,21.59,0.32422417786012175,1,-1,1,1
230,2018-03-28,20.93,1408500,1.4595103578154367,1,-0.015058823529411791,-1,21.25,-0.04705882352941912,-1,-1,1,-1
231,2018-03-29,21.58,1439500,-2.129673450070986,-1,0.03105590062111796,1,20.93,0.9555661729574739,1,1,-1,1
232,2018-04-02,21.23,1522400,1.6218721037998047,1,-0.01621872103799804,-1,21.58,0.0,-1,-1,1,-1
233,2018-04-03,22.24,4614200,-3.010653080129683,-1,0.047574187470560414,1,21.23,1.6957136128120558,1,1,-1,1
234,2018-04-04,13.29,27926700,5.409252669039157,1,-0.40242805755395683,-1,22.24,-36.82553956834532,-1,-1,1,-1
235,2018-04-05,13.71,8545000,0.3633720930232481,1,0.031602708803611934,1,13.29,3.5364936042136996,1,1,1,1
236,2018-04-06,12.98,7115600,4.065040650406496,1,-0.05324580598103579,-1,13.71,-1.3129102844639058,-1,-1,1,-1
237,2018-04-09,12.74,4485500,2.748091603053431,1,-0.018489984591679498,-1,12.98,0.9244992295839694,1,-1,1,1
238,2018-04-10,12.76,2952800,0.7776049766718479,1,0.0015698587127157548,1,12.74,0.9419152276295072,1,1,1,1
239,2018-04-11,13.13,3347500,-3.142183817753341,-1,0.028996865203761768,1,12.76,-0.23510971786833354,-1,1,-1,-1
240,2018-04-12,13.89,9611900,-3.0415430267062322,-1,0.05788271134805778,1,13.13,2.665651180502663,1,1,-1,1
241,2018-04-13,13.91,5450000,0.7845934379457877,1,0.0014398848092151972,1,13.89,0.9359251259899136,1,1,1,1
242,2018-04-16,14.02,2008300,-0.7183908045976987,-1,0.007907979870596549,1,13.91,0.07189072609633204,1,1,-1,1
243,2018-04-17,14.37,2777400,-2.350427350427351,-1,0.024964336661911446,1,14.02,0.1426533523537773,1,1,-1,1
244,2018-04-18,14.91,2243700,-3.685674547983306,-1,0.03757828810020891,1,14.37,0.0695894224078049,1,1,-1,1
245,2018-04-19,14.6,2465400,2.341137123745817,1,-0.020791415157612403,-1,14.91,0.26827632461434703,1,-1,1,1
246,2018-04-20,14.74,1607100,-0.9589041095890449,-1,0.009589041095890538,1,14.6,0.0,-1,1,-1,-1
247,2018-04-23,14.9,2429500,-0.6756756756756733,-1,0.01085481682496603,1,14.74,0.4070556309362313,1,1,-1,1
248,2018-04-24,14.47,2696900,2.951039570757877,1,-0.02885906040268449,-1,14.9,0.06711409395973011,1,-1,1,1
249,2018-04-25,14.06,2087600,2.6989619377162546,1,-0.028334485141672472,-1,14.47,-0.13821700069109433,-1,-1,1,-1
250,2018-04-26,14.16,1265100,0.14104372355429884,1,0.007112375533428139,1,14.06,0.8534850640113741,1,1,1,1
251,2018-04-27,14.19,1006900,-0.2118644067796565,-1,0.0021186440677964935,1,14.16,0.0,-1,1,-1,-1
252,2018-04-30,14.25,924700,-0.5645730416372623,-1,0.0042283298097252064,1,14.19,-0.14094432699083562,-1,1,-1,-1
253,2018-05-01,14.42,1537100,-1.4064697609001355,-1,0.011929824561403457,1,14.25,-0.2105263157894692,-1,1,-1,-1
254,2018-05-02,14.66,1545400,-1.805555555555554,-1,0.01664355062413314,1,14.42,-0.13869625520110662,-1,1,-1,-1
255,2018-05-03,15.05,1222900,-3.0116358658453204,-1,0.026603001364256418,1,14.66,-0.3410641200545751,-1,1,-1,-1
256,2018-05-04,15.04,1055300,-0.4005340453938499,-1,-0.0006644518272426181,-1,15.05,-0.4651162790697693,-1,-1,-1,-1
257,2018-05-07,15.63,2307000,-1.6916070266753518,-1,0.03922872340425543,1,15.04,2.1941489361702136,1,1,-1,1
258,2018-05-08,15.9,1171500,-2.0539152759948673,-1,0.017274472168905985,1,15.63,-0.31989763275752214,-1,1,-1,-1
259,2018-05-09,15.87,2245700,0.6261740763932462,1,-0.0018867924528302993,-1,15.9,0.4402515723270458,1,-1,1,1
260,2018-05-10,16.41,1464800,-2.8840125391849587,-1,0.03402646502835549,1,15.87,0.504095778197858,1,1,-1,1
261,2018-05-11,15.96,1083200,3.3313143549364064,1,-0.027422303473491727,-1,16.41,0.6093845216331593,1,-1,1,1
262,2018-05-14,15.73,1010100,1.7489069331667777,1,-0.014411027568922319,-1,15.96,0.31328320802005455,1,-1,1,1
263,2018-05-15,15.59,1339200,-0.06418485237483816,-1,-0.008900190718372558,-1,15.73,-0.953591862682774,-1,-1,-1,-1
264,2018-05-16,16.0,1662900,-2.6298909557408603,-1,0.026298909557408656,1,15.59,0.0,-1,1,-1,-1
265,2018-05-17,15.85,1224400,0.9375000000000022,1,-0.009375000000000022,-1,16.0,0.0,-1,-1,1,-1
266,2018-05-18,16.1,968400,-1.577287066246068,-1,0.015772870662460692,1,15.85,0.0,-1,1,-1,-1
267,2018-05-21,16.25,1082200,-0.24676125848241298,-1,0.009316770186335255,1,16.1,0.6832298136645927,1,1,-1,1
268,2018-05-22,16.2,2276200,0.6134969325153461,1,-0.003076923076923088,-1,16.25,0.3076923076923121,1,-1,1,1
269,2018-05-23,16.1,1480400,0.0,-1,-0.006172839506172756,-1,16.2,-0.6172839506172708,-1,-1,-1,-1
