,date,tsla_close,tsla_vol,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target
2165,2019-02-05,321.350006,6742800,-2.835295940199566,-1,0.027038226195872594,1,312.890015,-0.1278484390113976,-1,1,0,-1
2166,2019-02-06,317.22000099999997,5038500,0.7415735879292096,1,-0.012852045815739066,-1,321.350006,-0.5476925368409741,-1,-1,1,-1
2167,2019-02-07,307.51001,6520600,1.8480619922653694,1,-0.030609643053370883,-1,317.22000099999997,-1.2357395459436946,-1,-1,1,-1
2168,2019-02-08,305.799988,5844200,0.33569046170185185,1,-0.005560866132455433,-1,307.51001,-0.22113849236972985,-1,-1,1,-1
2169,2019-02-11,312.839996,7129700,-0.3979428678188079,-1,0.023021609798101084,1,305.799988,1.8966704472205613,1,1,0,1
2170,2019-02-12,311.809998,5517600,1.3883661712195026,1,-0.0032924114984325126,-1,312.839996,1.07403658194652,1,-1,1,1
2171,2019-02-13,308.170013,5141600,1.3382400895487816,1,-0.011673727665397093,-1,311.809998,0.17318495348568017,1,-1,1,1
2172,2019-02-14,303.769989,5200800,-0.12854637536182612,-1,-0.014277910940023841,-1,308.170013,-1.554339422375921,-1,-1,0,-1
2173,2019-02-15,307.880005,3904900,-1.110018062397367,-1,0.013530026496461955,1,303.769989,0.2403170248658074,1,1,0,1
2174,2019-02-19,305.640015,4168400,0.30009884068436155,1,-0.007275529308894191,-1,307.880005,-0.42874073618388286,-1,-1,1,-1
2175,2019-02-20,302.559998,7142100,0.6077349547290198,1,-0.010077270150637863,-1,305.640015,-0.4024378156112806,-1,-1,1,-1
2176,2019-02-21,291.230011,8909200,3.505512431698839,1,-0.03744707520787338,-1,302.559998,-0.24788471871949178,-1,-1,1,-1
2177,2019-02-22,294.709991,5740600,-0.07470576504146195,-1,0.011949249282554142,1,291.230011,1.1193829196401008,1,1,0,1
2178,2019-02-25,298.769989,6626500,-0.2886727496401882,-1,0.013776248257562518,1,294.709991,1.0858176165462992,1,1,0,1
2179,2019-02-26,297.859985,8582500,-1.9300472180889587,-1,-0.0030458347006198094,-1,298.769989,-2.1923179171787703,-1,-1,0,-1
2180,2019-02-27,314.73999,11183900,-4.294516218087715,-1,0.0566709388641109,1,297.859985,1.3160592887292455,1,1,0,1
2181,2019-02-28,319.880005,10520700,-0.3010134080234092,-1,0.016330988000603286,1,314.73999,1.3280876700796762,1,1,0,1
2182,2019-03-01,294.790009,22911400,3.9584260509648383,1,-0.07843564964305905,-1,319.880005,-4.045267849736338,-1,-1,1,-1
2183,2019-03-04,285.359985,17096800,4.280159068163147,1,-0.03198895387258527,-1,294.790009,1.129612910320858,1,-1,1,1
2184,2019-03-05,276.540009,18764700,1.9361670212765965,1,-0.030908243845050642,-1,285.359985,-1.1774548558376168,-1,-1,1,-1
2185,2019-03-06,276.23999,10335500,0.0868131475877339,1,-0.0010849026912413962,-1,276.540009,-0.021695956479124628,-1,-1,1,-1
2186,2019-03-07,276.589996,9442500,0.8069143710646159,1,0.0012670359566695488,1,276.23999,0.9412127476546781,1,1,1,1
2187,2019-03-08,284.140015,8819600,-2.610960563201606,-1,0.02729678986654327,1,276.589996,0.11569760462342603,1,1,0,1
2188,2019-03-11,290.920013,7392300,-2.610053713002921,-1,0.023861468438368227,1,284.140015,-0.21821143354271863,-1,1,0,-1
2189,2019-03-12,283.359985,7504100,1.092535554209061,1,-0.02598662059045076,-1,290.920013,-1.5227632345802231,-1,-1,1,-1
2190,2019-03-13,288.959991,6844700,-1.7823166984639,-1,0.019762868070451134,1,283.359985,0.19057348552584014,1,1,0,1
2191,2019-03-14,289.959991,7103400,0.85143474023862,1,0.003460686708008698,1,288.959991,1.2077869285371112,1,1,1,1
2192,2019-03-15,275.429993,14785500,2.8499935504922727,1,-0.05011035470752234,-1,289.959991,-2.2244382674159966,-1,-1,1,-1
2193,2019-03-18,269.48999,10281000,2.358699275362327,1,-0.021566289623367374,-1,275.429993,0.20695168082147664,1,-1,1,1
2194,2019-03-19,267.47000099999997,11800600,0.01121457943926433,1,-0.007495599372726258,-1,269.48999,-0.7384281694470276,-1,-1,1,-1
