,close,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment,lag_1_tsla_close,lag_1_tsla_sentiment,lag_1_em_tweets3_sentiment,lag_2_tsla_close,lag_2_tsla_sentiment,lag_2_em_tweets3_sentiment,lag_3_close,lag_3_tsla_sentiment,lag_3_em_tweets3_sentiment
2016-01-27,223.51,0.0,-1.0,0.0,0.0,223.24,-1.0,0.0,223.61,-1.0,0.0,225.59,-1.0,-1.0
2016-01-28,225.0,0.0,0.0,0.0,0.0,223.51,-1.0,0.0,223.24,-1.0,0.0,223.61,-1.0,0.0
2016-01-29,222.93,0.0,-1.0,-0.4588,-1.0,225.0,0.0,0.0,223.51,-1.0,0.0,223.24,-1.0,0.0
2016-01-30,224.84,0.25349999999999995,1.0,0.0,-1.0,222.93,-1.0,-1.0,225.0,0.0,0.0,223.51,-1.0,0.0
2016-01-31,222.62,0.4703,1.0,0.0,0.0,224.84,1.0,-1.0,222.93,-1.0,-1.0,225.0,0.0,0.0
2016-02-01,220.96,1.6162999999999998,1.0,0.0,0.0,222.62,1.0,0.0,224.84,1.0,-1.0,222.93,-1.0,-1.0
2016-02-02,219.99,0.0,0.0,0.0,0.0,220.96,1.0,0.0,222.62,1.0,0.0,224.84,1.0,-1.0
2016-02-03,215.2,0.0,-1.0,0.0,0.0,219.99,0.0,0.0,220.96,1.0,0.0,222.62,1.0,0.0
2016-02-04,211.34,0.0,-1.0,0.6908,1.0,215.2,-1.0,0.0,219.99,0.0,0.0,220.96,1.0,0.0
2016-02-05,212.01,-0.1027,-1.0,1.2197,1.0,211.34,-1.0,1.0,215.2,-1.0,0.0,219.99,0.0,0.0
2016-02-06,200.77,-0.4882,-1.0,-0.6348,-1.0,212.01,-1.0,1.0,211.34,-1.0,1.0,215.2,-1.0,0.0
2016-02-07,197.78,0.4588,1.0,0.0,0.0,200.77,-1.0,-1.0,212.01,-1.0,1.0,211.34,-1.0,1.0
2016-02-08,202.83,0.4939,1.0,0.0,0.0,197.78,1.0,0.0,200.77,-1.0,-1.0,212.01,-1.0,1.0
2016-02-09,201.71,-1.2978,-1.0,0.0,0.0,202.83,1.0,0.0,197.78,1.0,0.0,200.77,-1.0,-1.0
2016-02-10,197.36,0.2210999999999999,1.0,0.0,0.0,201.71,-1.0,0.0,202.83,1.0,0.0,197.78,1.0,0.0
2016-02-11,194.47,-0.9735,-1.0,0.6721999999999999,1.0,197.36,1.0,0.0,201.71,-1.0,0.0,202.83,1.0,0.0
2016-02-12,198.3,0.09189999999999998,1.0,0.0,0.0,194.47,-1.0,1.0,197.36,1.0,0.0,201.71,-1.0,0.0
2016-02-13,196.05,-0.22120000000000006,-1.0,-0.16410000000000002,-1.0,198.3,1.0,0.0,194.47,-1.0,1.0,197.36,1.0,0.0
2016-02-14,196.41,-1.8075,-1.0,0.0,0.0,196.05,-1.0,-1.0,198.3,1.0,0.0,194.47,-1.0,1.0
2016-02-15,200.42,3.0805,1.0,0.0,0.0,196.41,-1.0,0.0,196.05,-1.0,-1.0,198.3,1.0,0.0
2016-02-16,205.4,-1.5330000000000001,-1.0,0.8849,1.0,200.42,1.0,0.0,196.41,-1.0,0.0,196.05,-1.0,-1.0
2016-02-17,206.34,-0.3188,-1.0,0.7845,1.0,205.4,-1.0,1.0,200.42,1.0,0.0,196.41,-1.0,0.0
2016-02-18,204.64,-0.5343,-1.0,0.0,0.0,206.34,-1.0,1.0,205.4,-1.0,1.0,200.42,1.0,0.0
2016-02-19,205.22,0.0,-1.0,0.2093,1.0,204.64,-1.0,0.0,206.34,-1.0,1.0,205.4,-1.0,1.0
2016-02-20,206.43,-1.179,-1.0,0.6904999999999999,1.0,205.22,-1.0,1.0,204.64,-1.0,0.0,206.34,-1.0,1.0
2016-02-21,207.45,0.0,-1.0,0.4404,1.0,206.43,-1.0,1.0,205.22,-1.0,1.0,204.64,-1.0,0.0
2016-02-22,208.99,0.1952,1.0,0.7056999999999998,1.0,207.45,-1.0,1.0,206.43,-1.0,1.0,205.22,-1.0,1.0
2016-02-23,205.81,0.0,-1.0,0.4662,1.0,208.99,1.0,1.0,207.45,-1.0,1.0,206.43,-1.0,1.0
2016-02-24,206.27,-0.4404,-1.0,0.7487,1.0,205.81,-1.0,1.0,208.99,1.0,1.0,207.45,-1.0,1.0
2016-02-25,200.7,-0.8259,-1.0,0.0,0.0,206.27,-1.0,1.0,205.81,-1.0,1.0,208.99,1.0,1.0
2016-02-26,204.03,-0.0918,-1.0,0.0,0.0,200.7,-1.0,0.0,206.27,-1.0,1.0,205.81,-1.0,1.0
2016-02-27,213.7,0.0258,1.0,0.0,0.0,204.03,-1.0,0.0,200.7,-1.0,0.0,206.27,-1.0,1.0
2016-02-28,211.41,0.2732,1.0,0.7615000000000001,1.0,213.7,1.0,0.0,204.03,-1.0,0.0,200.7,-1.0,0.0
2016-02-29,208.46,0.0,-1.0,0.9109,1.0,211.41,1.0,1.0,213.7,1.0,0.0,204.03,-1.0,0.0
2016-03-01,201.0,0.1027,1.0,0.4983,1.0,208.46,-1.0,1.0,211.41,1.0,1.0,213.7,1.0,0.0
2016-03-02,196.61,0.0,-1.0,-0.5994,-1.0,201.0,1.0,1.0,208.46,-1.0,1.0,211.41,1.0,1.0
2016-03-03,200.95,-0.6355,-1.0,0.08720000000000007,1.0,196.61,-1.0,-1.0,201.0,1.0,1.0,208.46,-1.0,1.0
2016-03-04,200.1,0.0,-1.0,0.0,0.0,200.95,-1.0,1.0,196.61,-1.0,-1.0,201.0,1.0,1.0
2016-03-05,201.51,0.8038,1.0,0.0,0.0,200.1,-1.0,0.0,200.95,-1.0,1.0,196.61,-1.0,-1.0
2016-03-06,200.24,0.0,-1.0,-0.4767,-1.0,201.51,1.0,0.0,200.1,-1.0,0.0,200.95,-1.0,1.0
2016-03-07,196.51,0.0,0.0,0.0,0.0,200.24,-1.0,-1.0,201.51,1.0,0.0,200.1,-1.0,0.0
2016-03-08,193.96,0.07300000000000001,1.0,0.0,0.0,196.51,0.0,0.0,200.24,-1.0,-1.0,201.51,1.0,0.0
2016-03-09,199.1,0.3251,1.0,0.0,-1.0,193.96,1.0,0.0,196.51,0.0,0.0,200.24,-1.0,-1.0
2016-03-10,203.56,0.6369,1.0,-0.4019,-1.0,199.1,1.0,-1.0,193.96,1.0,0.0,196.51,0.0,0.0
2016-03-11,199.1,0.0,-1.0,2.8622,1.0,203.56,1.0,-1.0,199.1,1.0,-1.0,193.96,1.0,0.0
2016-03-12,200.09,0.0,0.0,0.0,0.0,199.1,-1.0,1.0,203.56,1.0,-1.0,199.1,1.0,-1.0
2016-03-13,202.76,0.0516,1.0,0.743,1.0,200.09,0.0,0.0,199.1,-1.0,1.0,203.56,1.0,-1.0
2016-03-14,202.34,0.0,-1.0,0.0,0.0,202.76,1.0,1.0,200.09,0.0,0.0,199.1,-1.0,1.0
2016-03-15,202.24,0.6829,1.0,0.7783,1.0,202.34,-1.0,0.0,202.76,1.0,1.0,200.09,0.0,0.0
2016-03-16,204.01,2.1196,1.0,0.4588,1.0,202.24,1.0,1.0,202.34,-1.0,0.0,202.76,1.0,1.0
2016-03-17,199.97,0.0,-1.0,0.0,0.0,204.01,1.0,1.0,202.24,1.0,1.0,202.34,-1.0,0.0
2016-03-18,197.73,0.4588,1.0,0.0,0.0,199.97,-1.0,0.0,204.01,1.0,1.0,202.24,1.0,1.0
2016-03-19,190.79,-0.3182,-1.0,0.0,0.0,197.73,1.0,0.0,199.97,-1.0,0.0,204.01,1.0,1.0
2016-03-20,188.02,0.0,-1.0,0.4019,1.0,190.79,-1.0,0.0,197.73,1.0,0.0,199.97,-1.0,0.0
2016-03-21,187.42,-0.4588,-1.0,1.2909000000000002,1.0,188.02,-1.0,1.0,190.79,-1.0,0.0,197.73,1.0,0.0
2016-03-22,190.56,0.8254999999999999,1.0,6.1076,1.0,187.42,-1.0,1.0,188.02,-1.0,1.0,190.79,-1.0,0.0
2016-03-23,193.21,0.7365000000000002,1.0,0.8266,1.0,190.56,1.0,1.0,187.42,-1.0,1.0,188.02,-1.0,1.0
2016-03-24,194.94,0.7096,1.0,0.0,0.0,193.21,1.0,1.0,190.56,1.0,1.0,187.42,-1.0,1.0
2016-03-25,190.06,-0.038500000000000034,-1.0,0.0,0.0,194.94,1.0,0.0,193.21,1.0,1.0,190.56,1.0,1.0
2016-03-26,185.35,0.3818,1.0,0.0,0.0,190.06,-1.0,0.0,194.94,1.0,0.0,193.21,1.0,1.0
2016-03-27,188.56,-0.4019,-1.0,0.0,0.0,185.35,1.0,0.0,190.06,-1.0,0.0,194.94,1.0,0.0
2016-03-28,181.45,0.0,-1.0,0.0,0.0,188.56,-1.0,0.0,185.35,1.0,0.0,190.06,-1.0,0.0
2016-03-29,183.77,1.1288,1.0,0.6696,1.0,181.45,-1.0,0.0,188.56,-1.0,0.0,185.35,1.0,0.0
2016-03-30,183.93,-0.4939,-1.0,2.9165,1.0,183.77,1.0,1.0,181.45,-1.0,0.0,188.56,-1.0,0.0
2016-03-31,188.66,0.5574,1.0,0.7088,1.0,183.93,-1.0,1.0,183.77,1.0,1.0,181.45,-1.0,0.0
2016-04-01,185.02,0.1975,1.0,0.0,-1.0,188.66,1.0,1.0,183.93,-1.0,1.0,183.77,1.0,1.0
2016-04-02,184.52,0.0,0.0,0.0,0.0,185.02,1.0,-1.0,188.66,1.0,1.0,183.93,-1.0,1.0
2016-04-03,191.17,0.0,0.0,0.8877,1.0,184.52,0.0,0.0,185.02,1.0,-1.0,188.66,1.0,1.0
2016-04-04,193.14,0.9997,1.0,0.4019,1.0,191.17,0.0,1.0,184.52,0.0,0.0,185.02,1.0,-1.0
2016-04-05,196.65,0.0,-1.0,0.0,0.0,193.14,1.0,1.0,191.17,0.0,1.0,184.52,0.0,0.0
2016-04-06,196.12,-0.34,-1.0,0.0,0.0,196.65,-1.0,0.0,193.14,1.0,1.0,191.17,0.0,1.0
2016-04-07,189.57,0.0,-1.0,0.0,0.0,196.12,-1.0,0.0,196.65,-1.0,0.0,193.14,1.0,1.0
2016-04-08,189.4,0.0,0.0,0.0,0.0,189.57,-1.0,0.0,196.12,-1.0,0.0,196.65,-1.0,0.0
2016-04-09,181.88,-1.3763999999999998,-1.0,0.0,-1.0,189.4,0.0,0.0,189.57,-1.0,0.0,196.12,-1.0,0.0
2016-04-10,181.47,-0.196,-1.0,0.0,0.0,181.88,-1.0,-1.0,189.4,0.0,0.0,189.57,-1.0,0.0
2016-04-11,186.8,0.0,-1.0,0.0,0.0,181.47,-1.0,0.0,181.88,-1.0,-1.0,189.4,0.0,0.0
