,date,fb_close,fb_vol,fb_intra_perc_change,fb_intra_returns,fb_pct_change,fb_pct_returns,fb_previous_close,fb_opening_change,fb_opening_returns,fb_target,fb_intra_target,fb_open_target
1239,2017-04-24,145.47,14407200,-0.3518211920529738,-1,0.012458240534521048,1,143.68,0.8908685968819607,1,1,-1,1
1240,2017-04-25,146.49,17767500,-0.4801426709650985,-1,0.007011755001031128,1,145.47,0.21997662748332522,1,1,-1,1
1241,2017-04-26,146.56,12395000,0.3603236113943851,1,0.00047784831729114075,1,146.49,0.40958427196395264,1,1,1,1
1242,2017-04-27,147.7,11275100,-0.7022567668916624,-1,0.007778384279475858,1,146.56,0.07505458515282834,1,1,-1,1
1243,2017-04-28,150.25,30652200,-0.5016722408026756,-1,0.01726472579553162,1,147.7,1.2186865267434066,1,1,-1,1
1244,2017-05-01,152.46,25218300,-0.47449584816132784,-1,0.014708818635607468,1,150.25,0.9916805324459296,1,1,-1,1
1245,2017-05-02,152.78,21870400,0.3652015129776981,1,0.002098911189820196,1,152.46,0.5772005772005742,1,1,1,1
1246,2017-05-03,151.8,29782500,1.171874999999989,1,-0.006414452153423178,-1,152.78,0.5367194658986734,1,-1,1,1
1247,2017-05-04,150.85,36225500,-0.4528201371778696,-1,-0.006258234519104233,-1,151.8,-1.0737812911726112,-1,-1,-1,-1
1248,2017-05-05,150.24,17148500,0.7989435457246482,1,-0.004043752071594242,-1,150.85,0.3977461054027142,1,-1,1,1
1249,2017-05-08,151.06,15827500,-0.23223409196469663,-1,0.005457933972310869,1,150.24,0.3128328008519694,1,1,-1,1
1250,2017-05-09,150.48,17453900,0.6667106739718921,1,-0.003839533960016017,-1,151.06,0.2846551039322169,1,-1,1,1
1251,2017-05-10,150.29,12080700,-0.039938760567131915,-1,-0.0012626262626262985,-1,150.48,-0.1661350345560872,-1,-1,-1,-1
1252,2017-05-11,150.04,11841900,0.17962876721443033,1,-0.0016634506620533118,-1,150.29,0.013307605296433716,1,-1,1,1
1253,2017-05-12,150.33,9598200,0.04654255319148483,1,0.0019328179152227065,1,150.04,0.23993601706212586,1,1,1,1
1254,2017-05-15,150.19,15064700,-0.01331823932876755,-1,-0.000931284507417085,-1,150.33,-0.10643251513338989,-1,-1,-1,-1
1255,2017-05-16,149.78,14550800,0.21983878489108816,1,-0.002729875491044642,-1,150.19,-0.05326586323988554,-1,-1,1,-1
1256,2017-05-17,144.85,28300100,2.1283783783783825,1,-0.03291494191480848,-1,149.78,-1.188409667512352,-1,-1,1,-1
1257,2017-05-18,147.66,23031600,-2.031509121061358,-1,0.01939937866758723,1,144.85,-0.08974801518812252,-1,1,-1,-1
1258,2017-05-19,148.06,16187900,0.2627147187605163,1,0.0027089259108763475,1,147.66,0.5350128673980713,1,1,1,1
1259,2017-05-22,148.24,12586700,-0.1080497028633148,-1,0.0012157233553964364,1,148.06,0.01350803728218981,1,1,-1,1
1260,2017-05-23,148.07,12817800,0.3029894963641375,1,-0.0011467889908257645,-1,148.24,0.18888289260658467,1,-1,1,1
1261,2017-05-24,150.04,17862400,-1.0302336542993746,-1,0.013304518133315346,1,148.07,0.29715675018572146,1,1,-1,1
1262,2017-05-25,151.96,19891400,-1.1044577511643356,-1,0.012796587576646257,1,150.04,0.1732871234337639,1,1,-1,1
1263,2017-05-26,152.13,14996200,0.06569007422978015,1,0.0011187154514344932,1,151.96,0.17767833640430494,1,1,1,1
