,date,msft_close,msft_vol,msft_intra_perc_change,msft_intra_returns,msft_pct_change,msft_pct_returns,msft_previous_close,msft_opening_change,msft_opening_returns,msft_target,msft_intra_target,msft_open_target
1459,2016-01-13,51.64,66883600,4.014869888475831,1,-0.021599090564607848,-1,52.78,1.9325502084122697,1,-1,1,1
1460,2016-01-14,53.11,52381900,-2.1346153846153832,-1,0.02846630518977533,1,51.64,0.6971340046475589,1,1,-1,1
1461,2016-01-15,50.99,71820700,0.6236601052426433,1,-0.03991715307851629,-1,53.11,-3.3891922425155285,-1,-1,1,-1
1462,2016-01-19,50.56,43564500,1.7871017871017767,1,-0.008433026083545792,-1,50.99,0.9609727397528826,1,-1,1,1
1463,2016-01-20,50.79,63273000,-1.6206482593037264,-1,0.004549050632911333,1,50.56,-1.1471518987341878,-1,1,-1,-1
1464,2016-01-21,50.48,40191200,1.019607843137261,1,-0.006103563693640512,-1,50.79,0.41346721795629227,1,-1,1,1
1465,2016-01-22,52.29,37555800,-1.7117292355572897,-1,0.03585578446909676,1,50.48,1.8423137876386684,1,1,-1,1
1466,2016-01-25,51.79,34707700,0.28879476318829145,1,-0.009562057754828879,-1,52.29,-0.6693440428380215,-1,-1,1,-1
1467,2016-01-26,52.17,28900800,-0.7337323807684931,-1,0.007337323807685037,1,51.79,0.0,-1,1,-1,-1
1468,2016-01-27,51.22,36775200,1.5189386656412212,1,-0.018209699060762974,-1,52.17,-0.3066896683918031,-1,-1,1,-1
1469,2016-01-28,52.06,62513800,-0.3856536829926781,-1,0.01639984381101134,1,51.22,1.2495119094103877,1,1,-1,1
