,date,google_compound,google_sentiment,amazon_compound,amazon_sentiment,fb_compound,fb_neg,fb_neu,fb_pos,fb_sentiment,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
115,2017-01-11,0.4019,1,3.2523,1,0.1452,0.166,4.283,0.5509999999999999,1,0.0,-1,0.17520000000000002,1
116,2017-01-12,0.2263,1,0.5402,1,0.2263,0.316,3.3040000000000003,0.38,1,0.3308,1,2.4128000000000003,1
117,2017-01-18,0.9176,1,1.4741,1,-0.9457,0.611,2.389,0.0,-1,0.7769999999999999,1,0.4588,1
118,2017-01-24,0.8052,1,0.0,-1,0.0,0.0,1.0,0.0,-1,-0.25,-1,3.2989,1
119,2017-01-25,-0.25,-1,0.9671,1,0.5267,0.0,2.714,0.28600000000000003,1,0.0,-1,1.7542999999999995,1
120,2017-01-27,2.3903000000000003,1,2.7479,1,1.3011,0.115,3.128,0.757,1,0.4588,1,1.1837,1
121,2017-01-30,-1.3411,-1,0.6718,1,0.4429,0.33,3.1439999999999997,0.526,1,-0.2263,-1,3.6608,1
122,2017-01-31,0.0,-1,1.4652,1,1.1255,0.10400000000000001,4.11,0.7859999999999999,1,0.4019,1,-0.4019,-1
123,2017-02-02,-1.1823,-1,0.5391,1,-1.1446,1.169,9.456,0.375,-1,0.8607,1,0.4019,1
124,2017-02-07,0.0,-1,1.0654,1,0.0,0.0,1.0,0.0,-1,-0.1027,-1,1.528,1
125,2017-02-08,0.4588,1,0.3558,1,1.2306,0.11599999999999999,3.2239999999999998,0.6599999999999999,1,0.7003,1,0.0,-1
126,2017-02-09,0.4767,1,1.7963,1,2.412,0.248,3.327,1.4249999999999998,1,0.2809,1,0.0,-1
127,2017-02-15,0.34,1,1.3049,1,0.0,0.0,1.0,0.0,-1,0.34,1,1.4214,1
128,2017-02-16,0.0,-1,0.0,-1,0.0,0.0,1.0,0.0,-1,0.0,-1,4.3389,1
129,2017-02-17,-0.2732,-1,1.3298,1,0.29600000000000004,0.0,0.922,0.078,1,0.128,1,0.5687,1
130,2017-02-23,-0.6369,-1,0.0,-1,-0.5342,0.18899999999999997,1.714,0.09699999999999999,-1,0.6486,1,0.5719,1
131,2017-02-24,-0.3182,-1,0.4588,1,0.0,0.0,1.0,0.0,-1,0.4588,1,2.7648,1
132,2017-02-27,1.0203,1,1.7268,1,0.9379,0.07,3.321,0.609,1,-0.6760999999999998,-1,0.29600000000000004,1
133,2017-03-02,0.0,-1,0.4043000000000001,1,-0.2732,0.29600000000000004,0.7040000000000001,0.0,-1,-0.2732,-1,0.9215,1
134,2017-03-10,0.0,-1,0.0,-1,0.0,0.0,4.0,0.0,-1,-0.2263,-1,0.6732,1
135,2017-03-14,0.0,-1,1.0,1,0.07950000000000003,0.375,1.391,0.23399999999999999,1,0.0,-1,0.365,1
136,2017-03-16,-1.0539,-1,1.1137,1,-1.0539,0.7859999999999999,1.214,0.0,-1,0.0,-1,0.7269,1
137,2017-03-23,-0.2766,-1,-0.0244,-1,-0.34,0.16699999999999998,0.833,0.0,-1,-0.0772,-1,0.3612,1
138,2017-03-24,0.0,-1,0.6818,1,0.0772,0.065,1.859,0.076,1,0.0,-1,8.7058,1
139,2017-03-29,0.3239,1,0.4882,1,0.4158,0.217,2.323,0.46,1,0.5574,1,0.0,-1
140,2017-04-03,0.9616,1,1.3072,1,0.0,0.0,1.0,0.0,-1,-1.289,-1,0.0,-1
141,2017-04-05,0.7088,1,2.4901,1,0.8176,0.358,1.7480000000000002,0.894,1,0.0,-1,0.0,-1
142,2017-04-12,0.0,-1,1.1684,1,0.0258,0.0,1.891,0.109,1,1.2169,1,1.3979,1
143,2017-04-13,0.0516,1,1.4386,1,-0.1398,0.42,3.2560000000000002,0.32399999999999995,-1,0.8549000000000001,1,0.6705,1
144,2017-04-17,0.7547999999999999,1,1.6285999999999998,1,0.4588,0.0,2.8120000000000003,0.188,1,0.4119,1,0.6282,1
145,2017-04-18,0.3561,1,0.5267,1,0.3182,0.0,2.7230000000000003,0.27699999999999997,1,0.5465,1,0.1779,1
146,2017-04-27,1.5512,1,2.9807,1,-0.0232,0.29500000000000004,1.514,0.191,-1,0.4588,1,-0.2263,-1
147,2017-04-28,1.7180000000000002,1,1.9036,1,-0.4767,0.43700000000000006,0.563,0.0,-1,0.0,-1,-0.9741,-1
148,2017-05-04,0.3744,1,1.0342,1,1.6902999999999997,0.5670000000000001,10.059,1.374,1,-0.2877,-1,0.8312,1
149,2017-05-05,-0.2732,-1,0.5414,1,-0.48200000000000004,0.462,4.413,0.125,-1,0.0,-1,1.1529,1
150,2017-05-09,0.0,-1,1.4305,1,0.0,0.0,1.0,0.0,-1,0.6588,1,-0.15900000000000006,-1
151,2017-05-10,-0.5423,-1,0.03749999999999998,1,-0.4767,0.341,0.659,0.0,-1,0.0,-1,2.3488,1
152,2017-05-16,0.7547999999999999,1,1.5301999999999998,1,0.2732,0.0,4.721,0.27899999999999997,1,0.0516,1,0.0,-1
153,2017-05-17,0.6908,1,0.2577999999999998,1,-1.1277,0.847,4.808999999999998,0.342,-1,0.0,-1,-0.8074,-1
154,2017-05-19,-0.6764,-1,0.4404,1,0.6611,0.409,3.8789999999999996,0.7120000000000001,1,0.0,-1,0.95,1
155,2017-05-23,0.29600000000000004,1,0.4008,1,0.4588,0.0,0.667,0.33299999999999996,1,0.29600000000000004,1,1.2482000000000002,1
156,2017-05-24,1.1391,1,0.7903,1,0.6124,0.0,2.737,0.263,1,-0.5098,-1,1.2866,1
157,2017-05-25,0.0,-1,0.9084,1,0.7397,0.0,2.568,0.43200000000000005,1,0.0,-1,1.1857,1
158,2017-05-31,1.8743,1,0.5267,1,0.8233999999999999,0.0,1.462,0.5379999999999999,1,0.0,-1,1.2107,1
159,2017-06-01,0.0,-1,1.4927,1,0.25649999999999995,0.253,4.334,0.413,1,0.8066,1,0.4412,1
160,2017-06-02,0.21,1,0.9979,1,0.0,0.0,1.0,0.0,-1,-1.1026,-1,0.7096,1
161,2017-06-05,0.29600000000000004,1,0.06380000000000002,1,-0.2276,0.675,1.87,0.455,-1,-0.7884,-1,0.9496,1
162,2017-06-07,0.9134,1,1.1833,1,0.6808,0.0,4.663,0.337,1,-0.6751,-1,2.2509,1
163,2017-06-09,0.15630000000000005,1,0.26770000000000005,1,-0.747,0.476,4.422,0.102,-1,0.0,-1,-0.7368000000000001,-1
164,2017-06-13,0.4009,1,1.4047999999999998,1,0.0,0.0,3.0,0.0,-1,1.252,1,1.9476,1
165,2017-06-14,0.5976,1,0.9685,1,0.6808,0.0,0.728,0.272,1,1.2620999999999998,1,0.4767,1
166,2017-06-19,0.0,-1,0.4579,1,0.4074,0.11699999999999999,4.433,0.45,1,0.2732,1,-0.29600000000000004,-1
167,2017-06-20,0.0237,1,1.5472,1,0.25,0.0,1.8330000000000002,0.16699999999999998,1,0.1537,1,0.7444999999999999,1
168,2017-06-21,1.225,1,1.3629,1,-0.6705,0.524,1.476,0.0,-1,0.4767,1,-0.2201,-1
169,2017-06-22,0.7184,1,0.6546000000000001,1,0.6808,0.0,4.556,0.444,1,0.0,-1,0.4385999999999999,1
170,2017-06-26,0.8241,1,1.0754,1,-0.3818,0.126,4.8740000000000006,0.0,-1,0.2023,1,0.09720000000000006,1
171,2017-06-30,-0.4588,-1,2.4312,1,-1.0891000000000002,0.609,4.289,0.102,-1,0.0,-1,0.659,1
172,2017-07-03,-0.0516,-1,0.0,-1,0.07549999999999997,0.391,5.032,0.5770000000000001,1,1.3763999999999998,1,1.2141,1
173,2017-07-05,0.7882,1,2.1013,1,-0.7136,0.4290000000000001,3.4819999999999998,0.08800000000000001,-1,-1.2089999999999996,-1,0.8658,1
174,2017-07-06,1.1526,1,0.9848,1,-0.5423,0.273,3.727,0.0,-1,-0.09989999999999988,-1,1.2578,1
175,2017-07-07,0.2795,1,1.4294,1,0.6611,0.0,1.5,0.5,1,0.061700000000000026,1,0.0,-1
