,date,open,high,low,close,volume,tsla_intra_perc_change,tsla_intra_returns,tsla_pct_change,tsla_pct_returns,tsla_previous_close,tsla_opening_change,tsla_opening_returns,tsla_target,tsla_intra_target,tsla_open_target,tsla_compound,tsla_sentiment,em_tweets3_compound,em_tweets3_sentiment
811,2018-02-02,348.44,351.95,340.51,343.75,3704800,1.345999877476752,1,-0.015748031496062964,-1,349.25,-0.23192498210451176,-1,-1,1,-1,0.4846,1.0,0.1059,1.0
812,2018-02-05,337.97,344.47,333.0,333.13,4464100,1.4320785826195224,1,-0.030894530909091,-1,343.75,-1.6814542545454638,-1,-1,1,-1,0.3818,1.0,0.5176000000000001,1.0
813,2018-02-06,325.21,336.22,323.5,333.97,5088400,-2.6936472563661082,-1,0.002521526093093751,1,333.130005,-2.377454411529211,-1,1,-1,-1,0.0,-1.0,0.8749,1.0
814,2018-02-07,338.99,346.0,335.66,345.0,6969200,-1.7729166575095692,-1,0.033026915492329056,1,333.97000099999997,1.5031257253551973,1,1,-1,1,-0.10619999999999996,-1.0,2.0243,1.0
815,2018-02-08,343.31,348.62,314.6,315.23,10314600,8.179192905416059,1,-0.08628982318840582,-1,345.0,-0.489855652173911,-1,-1,1,-1,-0.5427,-1.0,0.0,0.0
816,2018-02-09,319.93,320.98,294.76,310.42,12933700,2.9725190535668347,1,-0.015258693119799438,-1,315.230011,1.4909690816208596,1,-1,1,1,0.0,0.0,0.0,0.0
817,2018-02-12,316.13,318.08,306.25,315.73,6227800,0.1265283249528916,1,0.017105849422150543,1,310.420013,1.839440680649672,1,1,1,1,0.0,0.0,0.7013999999999999,1.0
818,2018-02-13,315.02,324.19,312.51,323.66,4560200,-2.7426878616264587,-1,0.025116373875526232,1,315.730011,-0.22488264506473565,-1,1,-1,-1,0.5574,1.0,0.0,0.0
819,2018-02-14,320.84,326.17,318.52,322.31,3950700,-0.4581729267943335,-1,-0.004171062174243789,-1,323.660004,-0.8712871424175196,-1,-1,-1,-1,-0.25,-1.0,0.0,0.0
820,2018-02-15,324.5,334.12,322.4,334.07,5912900,-2.9491546995377425,-1,0.03648664041752747,1,322.309998,0.6794707001301252,1,1,-1,1,0.3182,1.0,0.0,0.0
