,date,dji_open,dji_high,dji_low,dji_close,dji_vol,dji_perc_change,dji_return,dji_previous_day_return,dji_previous_perc_change
2086,2018-07-12,24802.900391,24939.970703,24802.900391,24924.890625,233150000,0.4918385837015507,1,-1.0,-0.35914931783800913
2087,2018-07-13,24926.070313,25043.210938,24890.060547,25019.410156,255520000,0.3744667403562642,1,1.0,0.4918385837015507
2088,2018-07-16,25025.580078,25072.410156,24979.640625,25064.359375,231270000,0.15495863384238534,1,1.0,0.3744667403562642
2089,2018-07-17,25033.919922,25155.390625,24989.609375,25119.890625,250450000,0.34341686506893127,1,1.0,0.15495863384238534
2090,2018-07-18,25133.789063,25215.320313,25101.119141,25199.289063,252870000,0.26060535415419706,1,1.0,0.34341686506893127
2091,2018-07-19,25139.150391,25154.169922,25052.619141,25064.5,285760000,-0.2969487426541058,-1,1.0,0.26060535415419706
2092,2018-07-20,25041.140625,25124.099609,24986.349609,25058.119141,274080000,0.06780248653309584,1,-1.0,-0.2969487426541058
2093,2018-07-23,25036.900391,25081.449219,24983.330078,25044.289063,228820000,0.029511129111880613,1,1.0,0.06780248653309584
2094,2018-07-24,25092.429688,25286.619141,25092.429688,25241.939453,274940000,0.5958361420516373,1,1.0,0.029511129111880613
2095,2018-07-25,25183.699219,25432.869141,25113.550781,25414.099609,273670000,0.9148790572680264,1,1.0,0.5958361420516373
2096,2018-07-26,25468.550781,25587.240234,25463.160156,25527.070313,297530000,0.22977173889161792,1,1.0,0.9148790572680264
2097,2018-07-27,25520.519531,25580.220703,25370.070313,25451.060547,329680000,-0.2721691614296031,-1,1.0,0.22977173889161792
2098,2018-07-30,25439.320313,25500.160156,25287.380859,25306.830078,296880000,-0.5208088634832588,-1,-1.0,-0.2721691614296031
2099,2018-07-31,25345.210938,25490.980469,25345.210938,25415.189453,348700000,0.276101529283705,1,-1.0,-0.5208088634832588
2100,2018-08-01,25461.630859,25488.800781,25278.320313,25333.820313,315880000,-0.5019731324665836,-1,1.0,0.276101529283705
2101,2018-08-02,25256.449219,25360.480469,25120.070313,25326.160156,307700000,0.2760124212059117,1,-1.0,-0.5019731324665836
2102,2018-08-03,25360.369141,25467.900391,25325.169922,25462.580078,239020000,0.4030341058196817,1,1.0,0.2760124212059117
2103,2018-08-06,25437.429688,25540.019531,25381.380859,25502.179688,238990000,0.25454615813855413,1,1.0,0.4030341058196817
2104,2018-08-07,25551.650391,25692.720703,25551.650391,25628.910156,239910000,0.30236702450819203,1,1.0,0.25454615813855413
2105,2018-08-08,25615.720703,25634.109375,25557.480469,25583.75,217770000,-0.1248089146921983,-1,1.0,0.30236702450819203
